ta	tb	tc	td	te	tf	tg	th	ti	tj	tk	tl	tm	tn
68.46507	68.00779	68.01338	67.93275	67.94946	67.91615	67.91347	68.0215	68.08863	68.04301	68.08993	67.78516	68.13801	67.99505
69.47216	68.99387	69.02624	68.92912	68.96222	68.90412	68.90948	69.02151	69.08329	69.02857	69.08624	68.78341	69.1244	68.98884
70.4789	69.97935	70.03882	69.92638	69.97039	69.896	69.90642	70.02312	70.07848	70.0098	70.08403	69.78329	70.1125	69.98007
71.4855	70.96482	71.05061	70.92467	70.97462	70.89176	70.90437	71.0266	71.07471	70.98724	71.08374	70.78445	71.1018	70.96967
72.49212	71.95078	72.06115	71.92458	71.97537	71.89	71.90333	72.03342	72.07272	71.96033	72.08568	71.78659	72.09139	71.95866
73.49881	72.93773	73.07005	72.92619	72.97296	72.88933	72.90328	73.04342	73.07309	72.92897	73.0902	72.78954	73.08124	72.94771
74.50404	73.92586	74.07703	73.92938	73.9678	73.89032	73.90414	74.05606	74.07587	73.8944	74.0983	73.793	74.07367	73.93745
75.50676	74.91464	75.08253	74.93366	74.96028	74.89333	74.90572	75.07063	75.08106	74.85746	75.10976	74.79651	75.06947	74.92847
76.50681	75.90452	76.08795	75.93776	75.95079	75.89848	75.90797	76.08621	76.0885	75.81937	76.12399	75.80038	76.06886	75.92142
77.50423	76.89598	77.09328	76.94134	76.93789	76.90581	76.91275	77.10206	77.09792	76.78152	77.14061	76.80695	77.07187	76.91744
78.4994	77.8894	78.09847	77.94424	77.92033	77.91563	77.92043	78.11848	78.10897	77.74447	78.15958	77.8167	78.07843	77.91711
79.49324	78.88461	79.10413	78.94622	78.90029	78.92823	78.93075	79.1345	79.12113	78.7094	79.17988	78.82951	79.0882	78.92043
80.4855	79.88196	80.1114	79.94727	79.87943	79.94357	79.94324	80.1489	80.13344	79.6778	80.20042	79.84533	80.10021	79.92693
81.47586	80.88201	81.12294	80.94743	80.85902	80.96114	80.95733	81.16138	81.14572	80.65015	81.21998	80.86433	81.11293	80.93648
82.46414	81.88591	82.13851	81.94633	81.84031	81.98032	81.9725	82.17161	82.15765	81.6264	82.23729	81.88616	82.12482	81.94875
83.45056	82.89385	83.15585	82.94425	82.82439	83.00043	82.98813	83.17957	83.16874	82.60754	83.25238	82.91032	83.13555	82.96329
84.43581	83.90624	84.17338	83.94212	83.81216	84.02142	84.00352	84.18587	84.17879	83.59403	84.26588	83.9361	84.14478	83.97956
85.41995	84.92257	85.19017	84.94244	84.80405	85.04452	85.01801	85.19067	85.18888	84.58603	85.27702	84.96165	85.15281	84.99689
86.4026	85.94204	86.20544	85.94556	85.79903	86.0695	86.03091	86.19416	86.1993	85.58248	86.28509	85.98586	86.15942	86.01435
87.38373	86.96252	87.21841	86.95014	86.79767	87.09563	87.04166	87.19656	87.20968	86.58337	87.28964	87.0082	87.16437	87.03179
88.3636	87.98256	88.22844	87.9558	87.80089	88.1231	88.04991	88.19816	88.2197	87.58916	88.29228	88.02887	88.16817	88.04872
89.34248	89.00117	89.23507	88.96259	88.80845	89.15578	89.05572	89.19905	89.22911	88.6008	89.29417	89.04729	89.17081	89.06443
90.32052	90.01774	90.23801	89.9705	89.81933	90.19393	90.05944	90.19833	90.23835	89.61809	90.29567	90.06284	90.17265	90.07919
91.29848	91.03349	91.23719	90.97945	90.83306	91.23595	91.06122	91.19609	91.2475	90.64019	91.29709	91.07668	91.17236	91.09531
92.27697	92.04818	92.23268	91.98958	91.84926	92.28003	92.0612	92.19466	92.25634	91.66589	92.2984	92.08894	92.16758	92.11208
93.25601	93.06107	93.22474	93.00057	92.86692	93.32421	93.06091	93.19491	93.26512	92.69427	93.29974	93.09932	93.15871	93.12892
94.23566	94.07155	94.21375	94.01247	93.88499	94.36657	94.06142	94.1977	94.27438	93.72388	94.3006	94.10768	94.14656	94.14667
95.21684	95.07914	95.19857	95.02465	94.90344	95.40528	95.06346	95.20371	95.2838	94.75324	95.29962	95.11411	95.13235	95.16663
96.20233	96.08438	96.17989	96.03698	95.92136	96.43872	96.0673	96.21315	96.29305	95.78183	96.29624	96.11874	96.11706	96.18816
97.19247	97.08746	97.15922	97.04971	96.93774	97.46581	97.0714	97.22579	97.30223	96.809	97.29063	97.12148	97.10156	97.21003
98.18697	98.08974	98.13808	98.06268	97.95148	98.48579	98.07549	98.24113	98.31191	97.83434	98.28231	98.12153	98.08741	98.23122
99.18522	99.09388	99.11798	99.07521	98.96322	99.49794	99.0793	99.25871	99.32187	98.85759	99.27182	99.11882	99.07606	99.25047
100.1867	100.1004	100.1001	100.0868	99.97311	100.502	100.0826	100.2772	100.3305	99.87796	100.2596	100.1134	100.0683	100.2667
101.19	101.1084	101.0845	101.0974	100.9808	101.4983	101.0854	101.2941	101.3373	100.8969	101.2461	101.1051	101.0648	101.279
102.1947	102.1173	102.071	102.1071	101.986	102.4872	102.088	102.3087	102.3422	101.9149	102.232	102.0949	102.0666	102.2864
103.2009	103.1264	103.0603	103.1168	102.9886	103.4696	103.0906	103.3203	103.3456	102.9318	103.2186	103.0837	103.0741	103.2885
104.2087	104.1336	104.0522	104.1272	103.9876	104.447	104.0931	104.3283	104.3478	103.9483	104.2063	104.072	104.0859	104.2852
105.2173	105.1385	105.0459	105.1381	104.9829	105.4205	105.0955	105.3323	105.3493	104.9653	105.1957	105.0603	105.1004	105.276
106.2268	106.1415	106.0418	106.1486	105.9773	106.3914	106.0977	106.3318	106.351	105.9828	106.1871	106.0488	106.1168	106.2609
107.2372	107.1424	107.0391	107.158	106.9715	107.3599	107.0995	107.3278	107.3531	106.9989	107.1802	107.0374	107.1349	107.2409
108.2475	108.1388	108.0369	108.166	107.9661	108.3259	108.1011	108.3209	108.3556	108.0128	108.1726	108.0262	108.1545	108.2171
109.2564	109.1299	109.0348	109.1723	108.9617	109.2909	109.1027	109.3113	109.3592	109.0244	109.1638	109.0153	109.1746	109.191
110.2643	110.1164	110.0326	110.1755	109.9588	110.257	110.1041	110.299	110.3631	110.0336	110.1541	110.0047	110.1945	110.1642
111.2715	111.099	111.0304	111.1744	110.9581	111.2258	111.1056	111.2846	111.3669	111.0404	111.1439	110.9943	111.2135	111.1383
112.2784	112.0789	112.028	112.1687	111.9594	112.1989	112.1073	112.2683	112.3707	112.0446	112.1336	111.9839	112.2315	112.115
113.2844	113.0572	113.025	113.1588	112.9625	113.1773	113.1102	113.2505	113.373	113.047	113.1228	112.9729	113.2487	113.0957
114.2888	114.0352	114.021	114.1453	113.9673	114.1596	114.1143	114.2314	114.3721	114.0489	114.1114	113.9616	114.2656	114.0813
115.292	115.0139	115.017	115.1287	114.9732	115.144	115.1182	115.2128	115.3681	115.0515	115.0996	114.9498	115.2818	115.0727
116.2943	115.9944	116.0147	116.1108	115.9798	116.1286	116.1217	116.196	116.3612	116.0562	116.0881	115.938	116.2991	116.0684
117.2961	116.9778	117.0139	117.0939	116.9876	117.1139	117.1244	117.1816	117.3516	117.0639	117.0769	116.9266	117.3189	117.0677
118.2991	117.965	118.0143	118.0789	117.9967	118.1002	118.1261	118.1693	118.3387	118.0743	118.0665	117.9149	118.3399	118.0712
119.3032	118.9575	119.0167	119.0656	119.0067	119.0878	119.1269	119.158	119.3203	119.0871	119.0568	118.903	119.3612	119.0782
120.3081	119.9561	120.02	120.0533	120.0174	120.0767	120.1266	120.1492	120.2973	120.1016	120.0476	119.8915	120.3819	120.0866
121.3136	120.962	121.0225	121.0424	121.0282	121.0677	121.1257	121.1431	121.2705	121.1181	121.0392	120.8813	121.4013	121.0959
122.3177	121.9738	122.0239	122.0331	122.0387	122.0611	122.1244	122.1392	122.2407	122.137	122.0307	121.8744	122.4197	122.1056
123.3173	122.9908	123.0238	123.0257	123.049	123.057	123.1228	123.1367	123.209	123.1582	123.022	122.8714	123.4363	123.1153
124.3125	124.0121	124.0223	124.0202	124.0591	124.0556	124.1211	124.1351	124.1768	124.1803	124.0139	123.8722	124.4504	124.1244
125.3033	125.0371	125.0195	125.0164	125.0689	125.0567	125.1196	125.1334	125.1454	125.2009	125.0075	124.8764	125.4599	125.1324
126.2903	126.0647	126.0153	126.0143	126.0784	126.0594	126.118	126.1316	126.1161	126.2192	126.0031	125.8835	126.464	126.1394
127.2737	127.0929	127.01	127.0135	127.0861	127.0634	127.1152	127.1293	127.0902	127.2347	127.0005	126.8932	127.4625	127.1457
128.255	128.1186	128.0043	128.0139	128.092	128.0683	128.1108	128.1263	128.0684	128.2473	127.9994	127.9051	128.4552	128.1508
129.2353	129.1401	128.9988	129.0152	129.0965	129.0724	129.1044	129.1219	129.0514	129.2566	128.9998	128.9188	129.4418	129.1548
130.2153	130.1563	129.9951	130.017	130.1001	130.0742	130.0955	130.1163	130.0397	130.2627	130.0012	129.9338	130.4223	130.159
131.1957	131.1665	130.9968	131.0187	131.1032	131.0738	131.0848	131.1097	131.0336	131.2657	131.0027	130.9493	131.3986	131.1651
132.1769	132.1711	132.0048	132.0194	132.1063	132.0712	132.073	132.1021	132.0319	132.2657	132.0031	131.9648	132.3721	132.1732
133.1597	133.172	133.0193	133.0189	133.1097	133.0661	133.0611	133.0936	133.0342	133.263	133.0019	132.9799	133.3443	133.1826
134.1444	134.169	134.0391	134.0176	134.1136	134.0582	134.0491	134.085	134.0399	134.2579	133.9991	133.9937	134.3168	134.1924
135.1317	135.1638	135.0631	135.0154	135.1181	135.0479	135.0377	135.0765	135.0468	135.2511	134.9948	135.0052	135.2902	135.2014
136.1216	136.1575	136.0901	136.0125	136.1228	136.0372	136.0275	136.0675	136.054	136.2441	135.9897	136.0142	136.2647	136.209
137.1144	137.15	137.1191	137.0103	137.1279	137.0268	137.0192	137.0583	137.061	137.2384	136.9829	137.0207	137.2413	137.2144
138.1098	138.1413	138.1488	138.0091	138.1339	138.0165	138.0135	138.0493	138.0667	138.2348	137.9746	138.0247	138.2211	138.2167
139.1079	139.1315	139.178	139.0087	139.1404	139.0066	139.0105	139.0399	139.0702	139.2344	138.9648	139.0275	139.2048	139.2147
140.1088	140.1209	140.2056	140.0093	140.1472	139.9975	140.0104	140.033	140.0705	140.2374	139.9541	140.0293	140.1927	140.2073
141.1122	141.1105	141.2305	141.0111	141.1537	140.9892	141.0123	141.0295	141.0669	141.2437	140.943	141.0306	141.1838	141.1946
142.1168	142.0993	142.2516	142.0143	142.1604	141.9818	142.0161	142.0307	142.0596	142.2507	141.9318	142.0317	142.1777	142.1772
143.1221	143.0864	143.2685	143.0191	143.1674	142.9756	143.0219	143.0371	143.0501	143.2572	142.9191	143.0328	143.1742	143.1558
144.1276	144.0722	144.2793	144.0256	144.1742	143.9698	144.0292	144.0485	144.0397	144.2623	143.9059	144.0345	144.1725	144.1313
145.133	145.0571	145.2846	145.0336	145.1802	144.9643	145.0375	145.0642	145.0289	145.2649	144.8927	145.0369	145.1721	145.1043
146.1376	146.0419	146.2856	146.0432	146.1853	145.9592	146.0463	146.0836	146.0184	146.2649	145.8803	146.0395	146.1728	146.0761
147.1416	147.0272	147.2829	147.0547	147.1898	146.9546	147.0551	147.106	147.0106	147.2628	146.8696	147.0415	147.1746	147.0475
148.1451	148.0135	148.2785	148.0677	148.1933	147.9505	148.0633	148.1296	148.0055	148.2582	147.8618	148.0431	148.1779	148.019
149.1479	149.0013	149.273	149.0814	149.1954	148.9482	149.0702	149.1544	149.0037	149.2506	148.8576	149.0442	149.1821	148.9913
150.1496	149.9899	150.2669	150.096	150.1952	149.9484	150.0751	150.18	150.0053	150.2395	149.8575	150.0448	150.1866	149.9653
151.1504	150.9797	151.2613	151.111	151.1926	150.951	151.0774	151.2054	151.0105	151.224	150.8621	151.0452	151.1907	150.9424
152.1502	151.9713	152.2585	152.1247	152.1875	151.9556	152.0773	152.2298	152.0194	152.2036	151.8718	152.0452	152.1941	151.9235
153.1494	152.9649	153.2592	153.1356	153.1797	152.962	153.0753	153.2525	153.0318	153.1806	152.8869	153.0454	153.1967	152.9095
154.1479	153.9598	154.2635	154.1433	154.1708	153.9702	154.073	154.273	154.0468	154.1556	153.9071	154.0468	154.1995	153.9004
155.1462	154.9551	155.2712	155.1479	155.1607	154.9794	155.0707	155.2905	155.0637	155.1295	154.9321	155.0492	155.2052	154.8961
156.1446	155.9508	156.2821	156.1493	156.1493	155.9886	156.069	156.3049	156.0822	156.1026	155.9611	156.0524	156.2144	155.8958
157.1437	156.9468	157.2953	157.1481	157.1368	156.9975	157.068	157.3158	157.1016	157.0748	156.9932	157.0564	157.2267	156.898
158.1438	157.9434	158.3096	158.145	158.123	158.0073	158.0681	158.3228	158.1215	158.0467	158.027	158.0605	158.2418	157.9027
159.1448	158.9408	159.3235	159.1397	159.1081	159.0177	159.0696	159.3257	159.1411	159.0191	159.0612	159.0628	159.2591	158.9092
160.147	159.9391	160.3348	160.1326	160.092	160.0284	160.0727	160.3251	160.1597	159.9927	160.0951	160.0623	160.2781	159.9175
161.1505	160.9386	161.3441	161.1242	161.0749	161.0394	161.0776	161.3213	161.1768	160.9682	161.1287	161.0595	161.299	160.9279
162.1549	161.9399	162.3522	162.1158	162.0575	162.0503	162.0847	162.315	162.1923	161.9463	162.1609	162.0552	162.321	161.9398
163.1594	162.9438	163.3592	163.1088	163.0399	163.0612	163.0941	163.3074	163.2072	162.9277	163.1906	163.0498	163.3427	162.951
164.1644	163.9504	164.3654	164.1036	164.0224	164.072	164.1057	164.3006	164.2209	163.9129	164.2167	164.0439	164.3634	163.9601
165.1701	164.9578	165.3691	165.1006	165.0051	165.0825	165.1192	165.2945	165.2334	164.9023	165.239	165.0383	165.3826	164.9677
166.1769	165.9649	166.3697	166.1001	165.9884	166.0924	166.1341	166.2895	166.2452	165.8957	166.2583	166.0341	166.3997	165.9751
167.1854	166.9716	167.3679	167.1017	166.9726	167.1008	167.15	167.2861	167.2561	166.8932	167.2767	167.0332	167.4137	166.9812
168.1957	167.9783	168.3643	168.1048	167.9583	168.1079	168.1664	168.2826	168.2659	167.8935	168.294	168.0355	168.4243	167.9843
169.2074	168.9866	169.3598	169.1084	168.9465	169.1136	169.1826	169.2781	169.2739	168.8955	169.3108	169.0412	169.4317	168.9844
170.2204	169.9967	170.3554	170.1124	169.9372	170.1178	170.1983	170.2734	170.2807	169.8987	170.3267	170.0516	170.4358	169.9819
171.2346	171.0077	171.3521	171.1155	170.9297	171.121	171.2141	171.2683	171.2868	170.9021	171.3411	171.0675	171.4369	170.9776
172.2498	172.0195	172.3503	172.1169	171.9236	172.122	172.2299	172.2628	172.2928	171.905	172.3533	172.0877	172.4353	171.9718
173.2647	173.032	173.349	173.1164	172.9188	173.1203	173.2448	173.2567	173.2986	172.9069	173.3627	173.1112	173.4314	172.9652
174.2782	174.0449	174.3492	174.1132	173.9156	174.116	174.2582	174.2499	174.3042	173.9078	174.3688	174.1369	174.4257	173.9594
175.2903	175.0581	175.3519	175.1073	174.9136	175.1086	175.2696	175.2422	175.3096	174.9073	175.3713	175.1635	175.4191	174.9553
176.3007	176.0715	176.3572	176.0991	175.9125	176.0992	176.2798	176.2337	176.3146	175.9061	176.371	176.1899	176.4123	175.9534
177.3094	177.0845	177.3654	177.0889	176.9122	177.0909	177.2891	177.2242	177.3193	176.9062	177.3678	177.215	177.406	176.9538
178.3171	178.0967	178.3751	178.077	177.9131	178.087	178.297	178.2139	178.3235	177.9083	178.362	178.2373	178.4007	177.9571
179.3259	179.1094	179.385	179.0654	178.9156	179.0887	179.3036	179.2027	179.3276	178.9127	179.3539	179.2557	179.395	178.9634
180.3358	180.123	180.3947	180.0562	179.9192	180.0968	180.3086	180.1898	180.3321	179.9186	180.3439	180.2692	180.3879	179.9736
181.3463	181.1378	181.404	181.05	180.9238	181.1116	181.3118	181.1752	181.3367	180.9256	181.333	181.2775	181.3784	180.989
182.3576	182.1543	182.4125	182.0455	181.9292	182.1342	182.3127	182.1591	182.3409	181.9335	182.3216	182.2813	182.3656	182.0113
183.3695	183.1712	183.42	183.0425	182.9351	183.1662	183.3112	183.1422	183.3445	182.9413	183.3104	183.2805	183.3492	183.0401
184.3814	184.1882	184.426	184.0403	183.9415	184.2078	184.3073	184.1256	184.347	183.9493	184.3001	184.2754	184.3299	184.0743
185.3926	185.2049	185.4301	185.0367	184.9484	185.2576	185.3002	185.11	185.348	184.9577	185.2912	185.2667	185.3078	185.1128
186.4025	186.2204	186.4308	186.0313	185.956	186.314	186.2905	186.0956	186.3477	185.9666	186.2841	186.2553	186.2826	186.1545
187.4104	187.234	187.4275	187.0251	186.9643	187.3737	187.279	187.0829	187.3471	186.9762	187.279	187.2429	187.2543	187.198
188.416	188.2449	188.42	188.0181	187.9735	188.4347	188.2663	188.0725	188.3463	187.9874	188.2748	188.2315	188.2236	188.2414
189.4195	189.253	189.4081	189.0105	188.9834	189.4965	189.2532	189.0649	189.3459	189.0008	189.272	189.2221	189.1911	189.2844
190.4206	190.258	190.391	190.0025	189.9936	190.5579	190.2404	190.06	190.3469	190.0159	190.2704	190.2153	190.1579	190.3257
191.4207	191.2597	191.371	190.9947	191.003	191.6169	191.2292	191.0572	191.3491	191.032	191.2683	191.212	191.1246	191.364
192.4216	192.2586	192.3496	191.9875	192.0106	192.6716	192.2199	192.0564	192.3523	192.0469	192.2661	192.2093	192.0919	192.3985
193.4234	193.2545	193.3278	192.9815	193.016	193.7203	193.2122	193.0573	193.356	193.0599	193.2635	193.2062	193.0603	193.4297
194.4263	194.248	194.3063	193.9773	194.0196	194.7615	194.2065	194.06	194.36	194.0706	194.2612	194.2025	194.0307	194.4573
195.4298	195.2407	195.2847	194.975	195.0215	195.7951	195.2031	195.0647	195.3643	195.0788	195.2588	195.1983	195.0042	195.4809
196.4339	196.2339	196.2632	195.9753	196.0213	196.8205	196.2024	196.0716	196.3688	196.0844	196.2557	196.1939	195.9812	196.5002
197.438	197.2283	197.2431	196.98	197.0197	197.8382	197.2045	197.0808	197.3731	197.0874	197.2516	197.1893	196.9623	197.5168
198.4404	198.2248	198.2256	197.9903	198.0177	198.8495	198.2083	198.0922	198.377	198.0878	198.2462	198.1847	197.9474	198.5319
199.4389	199.2238	199.211	199.0059	199.016	199.8545	199.2128	199.1059	199.3802	199.0856	199.2395	199.1803	198.9368	199.5455
